id,value,sim
6272, 4.184E+00,Mode#7,Frequency=   1.269e+02Hz
6273, 3.890E+00,Mode#7,Frequency=   1.269e+02Hz
6274, 3.813E+00,Mode#7,Frequency=   1.269e+02Hz
6275, 3.873E+00,Mode#7,Frequency=   1.269e+02Hz
6276, 4.106E+00,Mode#7,Frequency=   1.269e+02Hz
6277, 4.590E+00,Mode#7,Frequency=   1.269e+02Hz
6278, 5.537E+00,Mode#7,Frequency=   1.269e+02Hz
6279, 7.210E+00,Mode#7,Frequency=   1.269e+02Hz
6280, 9.988E+00,Mode#7,Frequency=   1.269e+02Hz
6281, 1.432E+01,Mode#7,Frequency=   1.269e+02Hz
6282, 2.071E+01,Mode#7,Frequency=   1.269e+02Hz
1349, 9.518E+01,Mode#7,Frequency=   1.269e+02Hz
1350, 9.184E+01,Mode#7,Frequency=   1.269e+02Hz
1351, 8.828E+01,Mode#7,Frequency=   1.269e+02Hz
1352, 8.455E+01,Mode#7,Frequency=   1.269e+02Hz
1353, 8.058E+01,Mode#7,Frequency=   1.269e+02Hz
1354, 7.671E+01,Mode#7,Frequency=   1.269e+02Hz
1355, 7.296E+01,Mode#7,Frequency=   1.269e+02Hz
1356, 6.940E+01,Mode#7,Frequency=   1.269e+02Hz
1357, 6.591E+01,Mode#7,Frequency=   1.269e+02Hz
1358, 6.248E+01,Mode#7,Frequency=   1.269e+02Hz
1359, 5.917E+01,Mode#7,Frequency=   1.269e+02Hz
1360, 5.579E+01,Mode#7,Frequency=   1.269e+02Hz
1361, 5.243E+01,Mode#7,Frequency=   1.269e+02Hz
1362, 4.899E+01,Mode#7,Frequency=   1.269e+02Hz
1363, 4.538E+01,Mode#7,Frequency=   1.269e+02Hz
7724, 9.935E+01,Mode#7,Frequency=   1.269e+02Hz
7725, 9.765E+01,Mode#7,Frequency=   1.269e+02Hz
7726, 9.589E+01,Mode#7,Frequency=   1.269e+02Hz
7727, 9.394E+01,Mode#7,Frequency=   1.269e+02Hz
7728, 9.175E+01,Mode#7,Frequency=   1.269e+02Hz
7729, 8.961E+01,Mode#7,Frequency=   1.269e+02Hz
7730, 8.734E+01,Mode#7,Frequency=   1.269e+02Hz
7731, 8.516E+01,Mode#7,Frequency=   1.269e+02Hz
7732, 8.313E+01,Mode#7,Frequency=   1.269e+02Hz
7733, 8.080E+01,Mode#7,Frequency=   1.269e+02Hz
7734, 7.789E+01,Mode#7,Frequency=   1.269e+02Hz
7735, 7.336E+01,Mode#7,Frequency=   1.269e+02Hz
7736, 6.725E+01,Mode#7,Frequency=   1.269e+02Hz
7959, 8.767E+01,Mode#7,Frequency=   1.269e+02Hz
7960, 8.599E+01,Mode#7,Frequency=   1.269e+02Hz
7961, 8.455E+01,Mode#7,Frequency=   1.269e+02Hz
7962, 8.310E+01,Mode#7,Frequency=   1.269e+02Hz
7963, 8.145E+01,Mode#7,Frequency=   1.269e+02Hz
7964, 7.949E+01,Mode#7,Frequency=   1.269e+02Hz
7965, 7.757E+01,Mode#7,Frequency=   1.269e+02Hz
7966, 7.549E+01,Mode#7,Frequency=   1.269e+02Hz
7967, 7.353E+01,Mode#7,Frequency=   1.269e+02Hz
7968, 7.173E+01,Mode#7,Frequency=   1.269e+02Hz
7969, 6.964E+01,Mode#7,Frequency=   1.269e+02Hz
7970, 6.691E+01,Mode#7,Frequency=   1.269e+02Hz
7971, 6.238E+01,Mode#7,Frequency=   1.269e+02Hz
7972, 5.617E+01,Mode#7,Frequency=   1.269e+02Hz
10909, 9.844E+01,Mode#7,Frequency=   1.269e+02Hz
10910, 9.322E+01,Mode#7,Frequency=   1.269e+02Hz
10911, 8.774E+01,Mode#7,Frequency=   1.269e+02Hz
10912, 8.257E+01,Mode#7,Frequency=   1.269e+02Hz
10913, 7.779E+01,Mode#7,Frequency=   1.269e+02Hz
10914, 7.350E+01,Mode#7,Frequency=   1.269e+02Hz
10915, 6.934E+01,Mode#7,Frequency=   1.269e+02Hz
10916, 6.541E+01,Mode#7,Frequency=   1.269e+02Hz
10917, 6.168E+01,Mode#7,Frequency=   1.269e+02Hz
10918, 5.785E+01,Mode#7,Frequency=   1.269e+02Hz
10919, 5.452E+01,Mode#7,Frequency=   1.269e+02Hz
10920, 5.190E+01,Mode#7,Frequency=   1.269e+02Hz
10921, 5.093E+01,Mode#7,Frequency=   1.269e+02Hz
1243, 9.802E+01,Mode#7,Frequency=   1.269e+02Hz
1244, 9.489E+01,Mode#7,Frequency=   1.269e+02Hz
1245, 9.340E+01,Mode#7,Frequency=   1.269e+02Hz
5836, 9.638E+01,Mode#7,Frequency=   1.269e+02Hz
5837, 9.405E+01,Mode#7,Frequency=   1.269e+02Hz
5838, 9.160E+01,Mode#7,Frequency=   1.269e+02Hz
5839, 8.903E+01,Mode#7,Frequency=   1.269e+02Hz
5840, 8.637E+01,Mode#7,Frequency=   1.269e+02Hz
5841, 8.376E+01,Mode#7,Frequency=   1.269e+02Hz
5842, 8.109E+01,Mode#7,Frequency=   1.269e+02Hz
5843, 7.846E+01,Mode#7,Frequency=   1.269e+02Hz
5844, 7.586E+01,Mode#7,Frequency=   1.269e+02Hz
5845, 7.297E+01,Mode#7,Frequency=   1.269e+02Hz
5846, 6.952E+01,Mode#7,Frequency=   1.269e+02Hz
5847, 6.464E+01,Mode#7,Frequency=   1.269e+02Hz
5848, 5.826E+01,Mode#7,Frequency=   1.269e+02Hz
6320, 9.591E+01,Mode#7,Frequency=   1.269e+02Hz
6525, 9.508E+01,Mode#7,Frequency=   1.269e+02Hz
6526, 9.963E+01,Mode#7,Frequency=   1.269e+02Hz
10065, 9.930E+01,Mode#7,Frequency=   1.269e+02Hz
10066, 9.813E+01,Mode#7,Frequency=   1.269e+02Hz
5238, 9.244E+01,Mode#7,Frequency=   1.269e+02Hz
5239, 8.659E+01,Mode#7,Frequency=   1.269e+02Hz
5240, 8.943E+01,Mode#7,Frequency=   1.269e+02Hz
5241, 9.796E+01,Mode#7,Frequency=   1.269e+02Hz
11727, 7.575E+01,Mode#7,Frequency=   1.269e+02Hz
11728, 8.554E+01,Mode#7,Frequency=   1.269e+02Hz
989, 7.977E+01,Mode#7,Frequency=   1.269e+02Hz
990, 8.864E+01,Mode#7,Frequency=   1.269e+02Hz
3350, 9.242E+01,Mode#7,Frequency=   1.269e+02Hz
3351, 8.781E+01,Mode#7,Frequency=   1.269e+02Hz
3352, 9.267E+01,Mode#7,Frequency=   1.269e+02Hz
13379, 8.208E+01,Mode#7,Frequency=   1.269e+02Hz
13380, 9.054E+01,Mode#7,Frequency=   1.269e+02Hz
13851, 8.262E+01,Mode#7,Frequency=   1.269e+02Hz
13852, 9.116E+01,Mode#7,Frequency=   1.269e+02Hz
12189, 8.966E+01,Mode#7,Frequency=   1.269e+02Hz
12190, 8.570E+01,Mode#7,Frequency=   1.269e+02Hz
11711, 2.382E+01,Mode#7,Frequency=   1.269e+02Hz
11712, 3.845E+01,Mode#7,Frequency=   1.269e+02Hz
11713, 7.643E+01,Mode#7,Frequency=   1.269e+02Hz
11717, 9.378E+01,Mode#7,Frequency=   1.269e+02Hz
11718, 7.990E+01,Mode#7,Frequency=   1.269e+02Hz
11721, 7.518E+01,Mode#7,Frequency=   1.269e+02Hz
11722, 3.689E+01,Mode#7,Frequency=   1.269e+02Hz
11723, 4.557E+01,Mode#7,Frequency=   1.269e+02Hz
11724, 6.193E+01,Mode#7,Frequency=   1.269e+02Hz
11725, 6.768E+01,Mode#7,Frequency=   1.269e+02Hz
11726, 7.078E+01,Mode#7,Frequency=   1.269e+02Hz
3811, 9.970E+01,Mode#7,Frequency=   1.269e+02Hz
3812, 8.882E+01,Mode#7,Frequency=   1.269e+02Hz
3815, 7.501E+01,Mode#7,Frequency=   1.269e+02Hz
3816, 4.442E+01,Mode#7,Frequency=   1.269e+02Hz
3817, 7.178E+01,Mode#7,Frequency=   1.269e+02Hz
5221, 9.622E+01,Mode#7,Frequency=   1.269e+02Hz
5222, 7.926E+01,Mode#7,Frequency=   1.269e+02Hz
5223, 8.992E+01,Mode#7,Frequency=   1.269e+02Hz
5228, 8.759E+01,Mode#7,Frequency=   1.269e+02Hz
5231, 9.341E+01,Mode#7,Frequency=   1.269e+02Hz
5232, 9.493E+01,Mode#7,Frequency=   1.269e+02Hz
11694, 2.455E+01,Mode#7,Frequency=   1.269e+02Hz
11695, 1.757E+01,Mode#7,Frequency=   1.269e+02Hz
11696, 1.191E+01,Mode#7,Frequency=   1.269e+02Hz
11697, 7.982E+00,Mode#7,Frequency=   1.269e+02Hz
11698, 5.350E+00,Mode#7,Frequency=   1.269e+02Hz
11699, 3.705E+00,Mode#7,Frequency=   1.269e+02Hz
11700, 2.739E+00,Mode#7,Frequency=   1.269e+02Hz
11701, 2.212E+00,Mode#7,Frequency=   1.269e+02Hz
11702, 2.023E+00,Mode#7,Frequency=   1.269e+02Hz
11703, 2.081E+00,Mode#7,Frequency=   1.269e+02Hz
11704, 2.376E+00,Mode#7,Frequency=   1.269e+02Hz
11705, 3.012E+00,Mode#7,Frequency=   1.269e+02Hz
11706, 4.192E+00,Mode#7,Frequency=   1.269e+02Hz
11707, 6.096E+00,Mode#7,Frequency=   1.269e+02Hz
11708, 9.052E+00,Mode#7,Frequency=   1.269e+02Hz
11709, 1.315E+01,Mode#7,Frequency=   1.269e+02Hz
11710, 1.821E+01,Mode#7,Frequency=   1.269e+02Hz
5204, 9.968E+01,Mode#7,Frequency=   1.269e+02Hz
5581, 8.110E+01,Mode#7,Frequency=   1.269e+02Hz
5582, 8.394E+01,Mode#7,Frequency=   1.269e+02Hz
4401, 7.994E+01,Mode#7,Frequency=   1.269e+02Hz
4402, 8.501E+01,Mode#7,Frequency=   1.269e+02Hz
973, 2.238E+01,Mode#7,Frequency=   1.269e+02Hz
974, 3.570E+01,Mode#7,Frequency=   1.269e+02Hz
975, 7.340E+01,Mode#7,Frequency=   1.269e+02Hz
979, 7.204E+01,Mode#7,Frequency=   1.269e+02Hz
980, 5.165E+01,Mode#7,Frequency=   1.269e+02Hz
981, 8.397E+01,Mode#7,Frequency=   1.269e+02Hz
982, 9.326E+01,Mode#7,Frequency=   1.269e+02Hz
983, 6.639E+01,Mode#7,Frequency=   1.269e+02Hz
984, 3.373E+01,Mode#7,Frequency=   1.269e+02Hz
985, 4.851E+01,Mode#7,Frequency=   1.269e+02Hz
986, 6.805E+01,Mode#7,Frequency=   1.269e+02Hz
987, 7.545E+01,Mode#7,Frequency=   1.269e+02Hz
988, 7.677E+01,Mode#7,Frequency=   1.269e+02Hz
3333, 8.825E+01,Mode#7,Frequency=   1.269e+02Hz
3334, 7.380E+01,Mode#7,Frequency=   1.269e+02Hz
3335, 8.604E+01,Mode#7,Frequency=   1.269e+02Hz
3339, 9.144E+01,Mode#7,Frequency=   1.269e+02Hz
3340, 6.883E+01,Mode#7,Frequency=   1.269e+02Hz
3341, 9.012E+01,Mode#7,Frequency=   1.269e+02Hz
3342, 9.850E+01,Mode#7,Frequency=   1.269e+02Hz
3343, 8.629E+01,Mode#7,Frequency=   1.269e+02Hz
3344, 8.564E+01,Mode#7,Frequency=   1.269e+02Hz
7115, 8.452E+01,Mode#7,Frequency=   1.269e+02Hz
7116, 7.353E+01,Mode#7,Frequency=   1.269e+02Hz
7117, 9.858E+01,Mode#7,Frequency=   1.269e+02Hz
7119, 7.017E+01,Mode#7,Frequency=   1.269e+02Hz
7120, 3.906E+01,Mode#7,Frequency=   1.269e+02Hz
7121, 6.923E+01,Mode#7,Frequency=   1.269e+02Hz
11249, 9.765E+01,Mode#7,Frequency=   1.269e+02Hz
11250, 9.385E+01,Mode#7,Frequency=   1.269e+02Hz
13363, 2.206E+01,Mode#7,Frequency=   1.269e+02Hz
13364, 3.575E+01,Mode#7,Frequency=   1.269e+02Hz
13365, 7.248E+01,Mode#7,Frequency=   1.269e+02Hz
13369, 5.562E+01,Mode#7,Frequency=   1.269e+02Hz
13370, 2.400E+01,Mode#7,Frequency=   1.269e+02Hz
13371, 7.177E+01,Mode#7,Frequency=   1.269e+02Hz
13372, 8.542E+01,Mode#7,Frequency=   1.269e+02Hz
13373, 6.122E+01,Mode#7,Frequency=   1.269e+02Hz
13374, 3.185E+01,Mode#7,Frequency=   1.269e+02Hz
13375, 4.983E+01,Mode#7,Frequency=   1.269e+02Hz
13376, 7.120E+01,Mode#7,Frequency=   1.269e+02Hz
13377, 7.911E+01,Mode#7,Frequency=   1.269e+02Hz
13378, 8.009E+01,Mode#7,Frequency=   1.269e+02Hz
13835, 2.239E+01,Mode#7,Frequency=   1.269e+02Hz
13836, 3.686E+01,Mode#7,Frequency=   1.269e+02Hz
13837, 7.379E+01,Mode#7,Frequency=   1.269e+02Hz
13841, 5.534E+01,Mode#7,Frequency=   1.269e+02Hz
13842, 2.439E+01,Mode#7,Frequency=   1.269e+02Hz
13843, 7.182E+01,Mode#7,Frequency=   1.269e+02Hz
13844, 8.499E+01,Mode#7,Frequency=   1.269e+02Hz
13845, 6.021E+01,Mode#7,Frequency=   1.269e+02Hz
13846, 3.117E+01,Mode#7,Frequency=   1.269e+02Hz
13847, 5.069E+01,Mode#7,Frequency=   1.269e+02Hz
13848, 7.226E+01,Mode#7,Frequency=   1.269e+02Hz
13849, 7.997E+01,Mode#7,Frequency=   1.269e+02Hz
13850, 8.076E+01,Mode#7,Frequency=   1.269e+02Hz
956, 2.528E+01,Mode#7,Frequency=   1.269e+02Hz
957, 1.814E+01,Mode#7,Frequency=   1.269e+02Hz
958, 1.221E+01,Mode#7,Frequency=   1.269e+02Hz
959, 7.991E+00,Mode#7,Frequency=   1.269e+02Hz
960, 5.213E+00,Mode#7,Frequency=   1.269e+02Hz
961, 3.465E+00,Mode#7,Frequency=   1.269e+02Hz
962, 2.406E+00,Mode#7,Frequency=   1.269e+02Hz
963, 1.806E+00,Mode#7,Frequency=   1.269e+02Hz
964, 1.566E+00,Mode#7,Frequency=   1.269e+02Hz
965, 1.625E+00,Mode#7,Frequency=   1.269e+02Hz
966, 1.961E+00,Mode#7,Frequency=   1.269e+02Hz
967, 2.741E+00,Mode#7,Frequency=   1.269e+02Hz
968, 4.150E+00,Mode#7,Frequency=   1.269e+02Hz
969, 6.503E+00,Mode#7,Frequency=   1.269e+02Hz
970, 1.003E+01,Mode#7,Frequency=   1.269e+02Hz
971, 1.460E+01,Mode#7,Frequency=   1.269e+02Hz
972, 1.913E+01,Mode#7,Frequency=   1.269e+02Hz
3316, 9.577E+01,Mode#7,Frequency=   1.269e+02Hz
13361, 1.586E+01,Mode#7,Frequency=   1.269e+02Hz
13362, 1.987E+01,Mode#7,Frequency=   1.269e+02Hz
13833, 1.580E+01,Mode#7,Frequency=   1.269e+02Hz
13834, 1.975E+01,Mode#7,Frequency=   1.269e+02Hz
5249, 9.846E+01,Mode#7,Frequency=   1.269e+02Hz
5250, 9.551E+01,Mode#7,Frequency=   1.269e+02Hz
5251, 9.261E+01,Mode#7,Frequency=   1.269e+02Hz
5252, 8.967E+01,Mode#7,Frequency=   1.269e+02Hz
5253, 8.677E+01,Mode#7,Frequency=   1.269e+02Hz
5254, 8.383E+01,Mode#7,Frequency=   1.269e+02Hz
5255, 8.059E+01,Mode#7,Frequency=   1.269e+02Hz
5256, 7.673E+01,Mode#7,Frequency=   1.269e+02Hz
5257, 7.146E+01,Mode#7,Frequency=   1.269e+02Hz
5258, 6.460E+01,Mode#7,Frequency=   1.269e+02Hz
7018, 9.770E+01,Mode#7,Frequency=   1.269e+02Hz
7019, 9.328E+01,Mode#7,Frequency=   1.269e+02Hz
7020, 8.910E+01,Mode#7,Frequency=   1.269e+02Hz
7021, 8.498E+01,Mode#7,Frequency=   1.269e+02Hz
7022, 8.100E+01,Mode#7,Frequency=   1.269e+02Hz
7023, 7.713E+01,Mode#7,Frequency=   1.269e+02Hz
7024, 7.318E+01,Mode#7,Frequency=   1.269e+02Hz
7025, 6.929E+01,Mode#7,Frequency=   1.269e+02Hz
7026, 6.534E+01,Mode#7,Frequency=   1.269e+02Hz
7027, 6.144E+01,Mode#7,Frequency=   1.269e+02Hz
7028, 5.784E+01,Mode#7,Frequency=   1.269e+02Hz
11748, 9.871E+01,Mode#7,Frequency=   1.269e+02Hz
3363, 9.961E+01,Mode#7,Frequency=   1.269e+02Hz
3364, 9.652E+01,Mode#7,Frequency=   1.269e+02Hz
3365, 9.346E+01,Mode#7,Frequency=   1.269e+02Hz
3366, 9.033E+01,Mode#7,Frequency=   1.269e+02Hz
3367, 8.687E+01,Mode#7,Frequency=   1.269e+02Hz
3368, 8.275E+01,Mode#7,Frequency=   1.269e+02Hz
3369, 7.717E+01,Mode#7,Frequency=   1.269e+02Hz
3370, 6.993E+01,Mode#7,Frequency=   1.269e+02Hz
10678, 9.862E+01,Mode#7,Frequency=   1.269e+02Hz
10679, 9.437E+01,Mode#7,Frequency=   1.269e+02Hz
10680, 9.022E+01,Mode#7,Frequency=   1.269e+02Hz
10681, 8.614E+01,Mode#7,Frequency=   1.269e+02Hz
10682, 8.194E+01,Mode#7,Frequency=   1.269e+02Hz
10683, 7.768E+01,Mode#7,Frequency=   1.269e+02Hz
10684, 7.318E+01,Mode#7,Frequency=   1.269e+02Hz
10685, 6.838E+01,Mode#7,Frequency=   1.269e+02Hz
10686, 6.352E+01,Mode#7,Frequency=   1.269e+02Hz
10420, 9.397E+01,Mode#7,Frequency=   1.269e+02Hz
3458, 8.593E+01,Mode#7,Frequency=   1.269e+02Hz
7917, 6.742E+01,Mode#7,Frequency=   1.269e+02Hz
17250, 9.812E+01,Mode#7,Frequency=   1.269e+02Hz
17251, 9.647E+01,Mode#7,Frequency=   1.269e+02Hz
17252, 9.548E+01,Mode#7,Frequency=   1.269e+02Hz
17253, 9.494E+01,Mode#7,Frequency=   1.269e+02Hz
17254, 9.467E+01,Mode#7,Frequency=   1.269e+02Hz
17255, 9.456E+01,Mode#7,Frequency=   1.269e+02Hz
17256, 9.454E+01,Mode#7,Frequency=   1.269e+02Hz
17257, 9.456E+01,Mode#7,Frequency=   1.269e+02Hz
17258, 9.459E+01,Mode#7,Frequency=   1.269e+02Hz
17259, 9.463E+01,Mode#7,Frequency=   1.269e+02Hz
