id,value
14836, 1.280E+03
14841, 1.298E+03
14847, 1.315E+03
14856, 1.307E+03
14863, 1.323E+03
14866, 1.337E+03
14879, 1.332E+03
14882, 1.345E+03
14898, 1.354E+03
14437, 1.824E+03
14440, 1.861E+03
14442, 1.178E+03
14443, 1.488E+03
14444, 1.834E+03
14446, 1.821E+03
14447, 1.142E+03
14448, 1.490E+03
14450, 1.814E+03
14452, 1.121E+03
14454, 1.811E+03
14456, 1.113E+03
14458, 1.813E+03
14460, 1.467E+03
14463, 1.820E+03
14464, 1.468E+03
14467, 1.832E+03
14468, 1.473E+03
14472, 1.847E+03
14473, 1.483E+03
14476, 1.863E+03
14477, 1.495E+03
14480, 1.883E+03
14484, 1.964E+03
14488, 2.019E+03
14491, 1.448E+03
14493, 2.030E+03
14498, 2.059E+03
14501, 2.098E+03
14503, 2.146E+03
14506, 1.744E+03
14507, 2.206E+03
14511, 2.280E+03
14515, 2.358E+03
14516, 1.862E+03
14519, 2.427E+03
14523, 2.482E+03
14527, 2.039E+03
14529, 2.524E+03
14451, 1.479E+03
14455, 1.471E+03
14461, 1.106E+03
14466, 1.103E+03
14470, 1.108E+03
14474, 1.117E+03
14479, 1.131E+03
14482, 1.508E+03
14483, 1.147E+03
14486, 1.523E+03
14487, 1.163E+03
14492, 1.166E+03
14494, 1.696E+03
14495, 1.407E+03
14496, 1.159E+03
14500, 1.150E+03
14505, 1.147E+03
17024, 9.030E+02
17026, 8.997E+02
17028, 8.957E+02
17030, 8.999E+02
17031, 9.117E+02
14811, 1.352E+03
17033, 9.303E+02
17035, 9.534E+02
17037, 9.780E+02
17038, 1.002E+03
17040, 1.018E+03
17041, 1.025E+03
17042, 1.027E+03
17043, 1.023E+03
17044, 1.017E+03
17131, 1.349E+03
17133, 1.340E+03
17134, 1.323E+03
17136, 1.305E+03
17138, 1.299E+03
17298, 1.109E+03
17300, 1.108E+03
17302, 1.105E+03
17304, 1.100E+03
17305, 1.098E+03
17307, 1.101E+03
17309, 1.107E+03
17310, 1.117E+03
17312, 1.132E+03
17314, 1.145E+03
17315, 1.157E+03
14497, 1.716E+03
14499, 1.395E+03
14502, 1.727E+03
14504, 1.398E+03
14508, 1.772E+03
14509, 1.401E+03
14510, 1.135E+03
14512, 1.809E+03
14514, 1.127E+03
14520, 1.925E+03
14521, 1.456E+03
14524, 1.986E+03
14531, 1.582E+03
14533, 2.083E+03
14534, 2.556E+03
14537, 2.119E+03
14538, 2.576E+03
14541, 2.146E+03
14542, 2.583E+03
14545, 2.163E+03
14513, 1.411E+03
14517, 1.428E+03
14518, 1.121E+03
14522, 1.119E+03
14525, 1.495E+03
14526, 1.124E+03
14528, 1.539E+03
14530, 1.138E+03
14532, 1.161E+03
14535, 1.189E+03
14536, 1.620E+03
14539, 1.217E+03
14540, 1.654E+03
14543, 1.244E+03
14544, 1.681E+03
14547, 1.268E+03
14548, 1.701E+03
14551, 1.286E+03
14552, 1.710E+03
17045, 1.007E+03
17046, 9.945E+02
17047, 9.829E+02
17048, 9.730E+02
17049, 9.671E+02
17050, 9.680E+02
17051, 9.773E+02
17052, 9.923E+02
17053, 1.009E+03
17054, 1.023E+03
17055, 1.039E+03
17056, 1.054E+03
17057, 1.061E+03
14758, 1.376E+03
14775, 1.351E+03
14777, 1.375E+03
14791, 1.354E+03
14794, 1.367E+03
14807, 1.343E+03
14809, 1.351E+03
14821, 1.337E+03
14825, 1.343E+03
14826, 1.341E+03
14834, 1.325E+03
14838, 1.336E+03
14839, 1.341E+03
14840, 1.337E+03
14851, 1.330E+03
14853, 1.340E+03
14855, 1.344E+03
14859, 1.339E+03
14869, 1.347E+03
14872, 1.349E+03
14876, 1.344E+03
14887, 1.355E+03
14888, 1.358E+03
14891, 1.352E+03
14902, 1.364E+03
14905, 1.367E+03
14910, 1.361E+03
14918, 1.373E+03
14923, 1.378E+03
14925, 1.373E+03
14938, 1.387E+03
14943, 1.384E+03
14960, 1.396E+03
14982, 1.396E+03
14398, 3.193E+01
14400, 4.006E+01
14403, 4.772E+01
14406, 6.968E+01
14408, 1.327E+02
14411, 2.155E+02
14414, 3.135E+02
14417, 4.114E+02
14420, 5.052E+02
14425, 6.030E+02
14428, 7.078E+02
14431, 8.121E+02
14435, 9.137E+02
14439, 1.011E+03
14445, 1.086E+03
14449, 1.208E+03
16992, 7.745E+01
16995, 8.904E+01
16998, 9.552E+01
17000, 1.231E+02
17003, 1.999E+02
17005, 2.956E+02
17007, 3.884E+02
17009, 4.836E+02
17012, 5.590E+02
17014, 6.217E+02
17016, 6.796E+02
17018, 7.418E+02
17263, 8.217E+01
17265, 9.752E+01
17267, 1.134E+02
17270, 1.244E+02
17273, 1.350E+02
17275, 1.966E+02
17281, 3.925E+02
17283, 4.635E+02
17286, 5.141E+02
17288, 5.475E+02
16894, 5.073E+02
16895, 3.515E+02
16896, 3.192E+02
16897, 2.995E+02
16898, 2.624E+02
16899, 2.168E+02
16901, 1.838E+02
16941, 8.046E+02
16946, 9.099E+02
16947, 1.120E+03
16948, 1.111E+03
16950, 9.581E+02
16954, 6.459E+02
16955, 8.480E+02
16956, 9.882E+02
16959, 9.426E+02
16961, 7.595E+02
16962, 9.180E+02
16965, 9.661E+02
16967, 9.591E+02
16968, 1.012E+03
17020, 8.128E+02
17022, 8.888E+02
17025, 9.767E+02
17098, 1.512E+02
17100, 1.744E+02
17103, 2.060E+02
17105, 2.400E+02
17107, 2.816E+02
17110, 3.244E+02
17112, 3.908E+02
17114, 5.625E+02
17116, 7.192E+02
17118, 8.485E+02
17120, 9.353E+02
17123, 1.030E+03
17125, 1.116E+03
17277, 2.739E+02
17290, 6.602E+02
17292, 7.784E+02
17294, 8.949E+02
17297, 9.868E+02
14453, 1.411E+03
14459, 1.516E+03
14462, 1.306E+03
14465, 1.543E+03
14469, 1.401E+03
14471, 1.521E+03
14475, 1.448E+03
14478, 1.530E+03
14481, 1.458E+03
14485, 1.612E+03
17804, 1.903E+03
17807, 1.883E+03
17808, 1.903E+03
17813, 1.843E+03
17814, 1.621E+03
17816, 1.709E+03
17817, 1.784E+03
14489, 1.478E+03
14698, 9.235E+02
14709, 1.002E+03
14711, 9.988E+02
16964, 8.551E+02
16966, 8.378E+02
16969, 9.298E+02
16971, 1.112E+03
16972, 1.025E+03
16973, 1.167E+03
17027, 1.053E+03
17029, 1.197E+03
17032, 1.319E+03
17034, 1.359E+03
17036, 1.329E+03
17039, 1.319E+03
17129, 1.249E+03
17132, 1.268E+03
17135, 1.290E+03
17299, 1.026E+03
17301, 1.029E+03
17303, 1.073E+03
17306, 1.088E+03
17308, 1.083E+03
17580, 1.295E+03
17634, 1.613E+03
17635, 1.959E+03
17639, 1.990E+03
17805, 1.639E+03
17810, 1.648E+03
17812, 1.654E+03
17815, 1.359E+03
17818, 1.333E+03
17819, 1.534E+03
17820, 1.350E+03
17821, 1.584E+03
17861, 1.267E+03
17862, 1.244E+03
17863, 1.163E+03
17864, 1.078E+03
14722, 1.050E+03
14726, 1.059E+03
14734, 1.096E+03
14741, 1.106E+03
14752, 1.137E+03
14757, 1.144E+03
14769, 1.175E+03
14778, 1.183E+03
