id,value
17026, 8.997E+02
17028, 8.957E+02
17030, 8.999E+02
17031, 9.117E+02
14811, 1.352E+03
17033, 9.303E+02
17035, 9.534E+02
17037, 9.780E+02
17038, 1.002E+03
17040, 1.018E+03
17041, 1.025E+03
17042, 1.027E+03
17043, 1.023E+03
17044, 1.017E+03
17131, 1.349E+03
17133, 1.340E+03
17134, 1.323E+03
17136, 1.305E+03
17138, 1.299E+03
17298, 1.109E+03
17300, 1.108E+03
17302, 1.105E+03
17304, 1.100E+03
17305, 1.098E+03
17307, 1.101E+03
17309, 1.107E+03
17310, 1.117E+03
17312, 1.132E+03
17314, 1.145E+03
17315, 1.157E+03
14497, 1.716E+03
14499, 1.395E+03
14504, 1.398E+03
14510, 1.135E+03
17045, 1.007E+03
14758, 1.376E+03
14775, 1.351E+03
14777, 1.375E+03
14791, 1.354E+03
14794, 1.367E+03
14807, 1.343E+03
14809, 1.351E+03
14821, 1.337E+03
14825, 1.343E+03
14826, 1.341E+03
14834, 1.325E+03
14838, 1.336E+03
14839, 1.341E+03
14840, 1.337E+03
14851, 1.330E+03
14853, 1.340E+03
14855, 1.344E+03
14859, 1.339E+03
14869, 1.347E+03
14872, 1.349E+03
14876, 1.344E+03
14887, 1.355E+03
14888, 1.358E+03
14891, 1.352E+03
14902, 1.364E+03
14905, 1.367E+03
14910, 1.361E+03
14918, 1.373E+03
14923, 1.378E+03
14925, 1.373E+03
14938, 1.387E+03
14943, 1.384E+03
14960, 1.396E+03
14982, 1.396E+03
14398, 3.193E+01
14400, 4.006E+01
14403, 4.772E+01
14406, 6.968E+01
14408, 1.327E+02
14411, 2.155E+02
14414, 3.135E+02
14417, 4.114E+02
14420, 5.052E+02
14425, 6.030E+02
14428, 7.078E+02
14431, 8.121E+02
14435, 9.137E+02
14439, 1.011E+03
14445, 1.086E+03
14449, 1.208E+03
16992, 7.745E+01
16995, 8.904E+01
16998, 9.552E+01
17000, 1.231E+02
17003, 1.999E+02
17005, 2.956E+02
17007, 3.884E+02
17009, 4.836E+02
17012, 5.590E+02
17014, 6.217E+02
17016, 6.796E+02
17018, 7.418E+02
17263, 8.217E+01
17265, 9.752E+01
17267, 1.134E+02
17270, 1.244E+02
17273, 1.350E+02
17275, 1.966E+02
17281, 3.925E+02
17283, 4.635E+02
17286, 5.141E+02
17288, 5.475E+02
16894, 5.073E+02
16895, 3.515E+02
16896, 3.192E+02
16897, 2.995E+02
16898, 2.624E+02
16899, 2.168E+02
16901, 1.838E+02
16941, 8.046E+02
16946, 9.099E+02
16947, 1.120E+03
16948, 1.111E+03
16950, 9.581E+02
16954, 6.459E+02
16955, 8.480E+02
16956, 9.882E+02
16959, 9.426E+02
16961, 7.595E+02
16962, 9.180E+02
16965, 9.661E+02
16967, 9.591E+02
16968, 1.012E+03
17020, 8.128E+02
17022, 8.888E+02
17025, 9.767E+02
17098, 1.512E+02
17100, 1.744E+02
17103, 2.060E+02
17105, 2.400E+02
17107, 2.816E+02
17110, 3.244E+02
17112, 3.908E+02
17114, 5.625E+02
17116, 7.192E+02
17118, 8.485E+02
17120, 9.353E+02
17123, 1.030E+03
17125, 1.116E+03
17277, 2.739E+02
17290, 6.602E+02
17292, 7.784E+02
17294, 8.949E+02
17297, 9.868E+02
14453, 1.411E+03
14459, 1.516E+03
14462, 1.306E+03
14465, 1.543E+03
14469, 1.401E+03
14471, 1.521E+03
14475, 1.448E+03
14478, 1.530E+03
14481, 1.458E+03
14485, 1.612E+03
17804, 1.903E+03
17807, 1.883E+03
17808, 1.903E+03
17813, 1.843E+03
17814, 1.621E+03
17816, 1.709E+03
17817, 1.784E+03
14489, 1.478E+03
14698, 9.235E+02
14709, 1.002E+03
14711, 9.988E+02
16964, 8.551E+02
16966, 8.378E+02
16969, 9.298E+02
16971, 1.112E+03
16972, 1.025E+03
16973, 1.167E+03
17027, 1.053E+03
17029, 1.197E+03
17032, 1.319E+03
17034, 1.359E+03
17036, 1.329E+03
17039, 1.319E+03
17129, 1.249E+03
17132, 1.268E+03
17135, 1.290E+03
17299, 1.026E+03
17301, 1.029E+03
17303, 1.073E+03
17306, 1.088E+03
17308, 1.083E+03
17580, 1.295E+03
17634, 1.613E+03
17635, 1.959E+03
17639, 1.990E+03
17805, 1.639E+03
17810, 1.648E+03
17812, 1.654E+03
17815, 1.359E+03
17818, 1.333E+03
17819, 1.534E+03
17820, 1.350E+03
17821, 1.584E+03
17861, 1.267E+03
17862, 1.244E+03
17863, 1.163E+03
17864, 1.078E+03
14722, 1.050E+03
14726, 1.059E+03
14734, 1.096E+03
14741, 1.106E+03
14752, 1.137E+03
14757, 1.144E+03
14769, 1.175E+03
14778, 1.183E+03
14788, 1.208E+03
14797, 1.215E+03
14800, 1.239E+03
14810, 1.241E+03
14813, 1.275E+03
14818, 1.244E+03
14820, 1.263E+03
14823, 1.313E+03
14824, 1.252E+03
14830, 1.269E+03
14833, 1.300E+03
14835, 1.353E+03
14837, 1.272E+03
14843, 1.299E+03
14844, 1.328E+03
14849, 1.378E+03
14852, 1.293E+03
14854, 1.362E+03
14862, 1.341E+03
14865, 1.318E+03
14873, 1.389E+03
14874, 1.376E+03
14881, 1.350E+03
14886, 1.394E+03
14896, 1.387E+03
14897, 1.425E+03
14909, 1.414E+03
14919, 1.442E+03
14940, 1.470E+03
17137, 1.307E+03
17140, 1.315E+03
17142, 1.334E+03
17145, 1.372E+03
17147, 1.396E+03
17150, 1.432E+03
17153, 1.431E+03
17155, 1.471E+03
17311, 1.089E+03
17313, 1.109E+03
17316, 1.139E+03
17319, 1.170E+03
17322, 1.200E+03
17326, 1.175E+03
17329, 1.196E+03
17579, 1.270E+03
17581, 1.303E+03
17637, 1.658E+03
17806, 1.276E+03
17809, 1.358E+03
17811, 1.346E+03
17848, 1.223E+03
17857, 1.317E+03
17858, 1.345E+03
17859, 1.366E+03
17865, 1.222E+03
17866, 1.161E+03
17867, 1.115E+03
17868, 1.237E+03
17869, 1.267E+03
17870, 1.294E+03
17871, 1.193E+03
17872, 1.221E+03
17873, 1.249E+03
17874, 1.140E+03
17875, 1.175E+03
17876, 1.209E+03
17877, 1.284E+03
17878, 1.311E+03
17879, 1.336E+03
14845, 1.279E+03
14850, 1.293E+03
14857, 1.296E+03
14864, 1.306E+03
14870, 1.318E+03
14871, 1.315E+03
14880, 1.314E+03
14884, 1.329E+03
14885, 1.338E+03
14890, 1.336E+03
14892, 1.342E+03
14900, 1.363E+03
14901, 1.343E+03
14903, 1.349E+03
14907, 1.351E+03
14914, 1.393E+03
14917, 1.373E+03
14921, 1.363E+03
14924, 1.360E+03
14927, 1.426E+03
14933, 1.398E+03
14937, 1.380E+03
14939, 1.372E+03
14945, 1.422E+03
14951, 1.400E+03
14955, 1.387E+03
14962, 1.421E+03
14967, 1.476E+03
14973, 1.404E+03
14976, 1.396E+03
14978, 1.437E+03
14987, 1.416E+03
14993, 1.407E+03
14994, 1.479E+03
15003, 1.432E+03
15011, 1.414E+03
15019, 1.461E+03
15025, 1.421E+03
15047, 1.460E+03
17158, 1.485E+03
17162, 1.465E+03
17331, 1.238E+03
17334, 1.228E+03
17638, 2.003E+03
17641, 2.014E+03
17644, 2.027E+03
17645, 2.021E+03
17647, 2.031E+03
17650, 2.037E+03
17651, 2.034E+03
17654, 2.048E+03
17655, 2.038E+03
17658, 2.156E+03
17659, 1.821E+03
17660, 2.136E+03
17664, 2.136E+03
17667, 2.131E+03
17668, 1.793E+03
17669, 2.132E+03
17670, 1.806E+03
17673, 2.122E+03
17674, 1.758E+03
17675, 2.126E+03
17676, 1.776E+03
17681, 2.207E+03
17682, 2.161E+03
17686, 2.376E+03
17687, 1.776E+03
17688, 2.261E+03
17689, 2.320E+03
17690, 1.740E+03
17691, 1.759E+03
14915, 1.363E+03
14928, 1.371E+03
14934, 1.381E+03
14944, 1.380E+03
14948, 1.388E+03
14954, 1.396E+03
14958, 1.387E+03
14961, 1.397E+03
14972, 1.400E+03
14977, 1.407E+03
14980, 1.402E+03
14985, 1.411E+03
14997, 1.406E+03
14998, 1.417E+03
15000, 1.413E+03
15002, 1.410E+03
15016, 1.413E+03
15018, 1.418E+03
15021, 1.427E+03
15023, 1.422E+03
15033, 1.416E+03
15036, 1.422E+03
15038, 1.431E+03
15041, 1.432E+03
15049, 1.420E+03
15056, 1.422E+03
15058, 1.434E+03
15061, 1.441E+03
15062, 1.430E+03
15072, 1.420E+03
15077, 1.459E+03
15078, 1.431E+03
15083, 1.447E+03
15087, 1.429E+03
15096, 1.427E+03
15103, 1.451E+03
15104, 1.444E+03
15114, 1.433E+03
15124, 1.442E+03
15135, 1.449E+03
15145, 1.450E+03
15157, 1.467E+03
15164, 1.456E+03
15173, 1.471E+03
15197, 1.470E+03
15203, 1.504E+03
15218, 1.501E+03
15232, 1.493E+03
15268, 1.515E+03
17165, 1.451E+03
17168, 1.436E+03
17170, 1.422E+03
17173, 1.413E+03
17176, 1.410E+03
17337, 1.203E+03
17339, 1.186E+03
17342, 1.183E+03
18103, 3.572E+02
18105, 3.311E+02
18109, 8.103E+02
18111, 5.870E+02
18118, 8.009E+02
18120, 9.637E+02
18124, 4.085E+02
18126, 6.027E+02
18132, 3.367E+02
18133, 2.965E+02
18138, 5.847E+02
18139, 4.639E+02
18149, 8.887E+02
